COMPANY,JOB TITLE,LOCATION,JOB DESCRIPTION LINK,SOURCE,REFERRED BY,SALARY,BENEFITS,APP SUBMITTED DATE,TOTAL INTERVIEWS
Amex,Digital data analyst,,"he Merchant Digital Analytics & Research team owns UX research, data capability, and digital analytics for merchant-facing digital experiences. These include secure servicing journeys such as online statements and disputes, and publicly available resources such as the merchant-focused Shop Small landing page. Our high-performing team collects and synthesizes a variety of data inputs to understand user needs and present a view of product performance and recommendations to product teams and senior leadership. Data sources we draw on include big data tables (Cornerstone/Google Cloud Platform), Adobe Analytics and Qualtrics.

We are seeking a Digital Analyst. This entry-level role is ideal for someone who is looking to gain experience in digital data collection; analyzing data from disparate sources to solve business problems; and working across functions to build and measure the best possible digital experiences. 
The position is hybrid, with the option to work from home up to two days per week. The remaining three days per week will be in our New York City offices.


Key responsibilities

Ensure data accuracy by conducting thorough, well-documented QA of tagging implementations, and working with technology teams to ensure problems are understood and remediated
Assist with implementation of Qualtrics onsite surveys
Own and maintain a portfolio of recurring reports, alerts, and dashboards
Work in close collaboration with product owners, technology teams and marketing partners to communicate product performance and stay informed of product changes
Leverage qualitative, quantitative, and demographic data to analyze product performance and make recommendations
Manage ad-hoc requests for digital data analysis from a variety of stakeholder teams
Present findings and outcomes to all levels of the organization with confidence and clarity

Required Qualifications

Excellent communication and documentation skills
Ability to excel as a team player in a fast-paced, complex business environment and rigorously prioritize competing initiatives
Ability to operate effectively under changing conditions
Drive for excellence, with the desire to optimize processes for best efficiency and results
Analytical curiosity to observe and understand human behavior on digital platforms
Basic understanding of web technologies like HTML and JavaScript
1-2 years of experience with SQL or equivalent educational background, with capability to join, manipulate and summarize large datasets
1-2 years professional experience or equivalent educational backgroundquit",,,,,1/31/24,
BE,Viasat,,"Understand software written in Ruby, typescript and javascript, built and deployed on multi-node, globally distributed Linux virtual hosts
Experience with Ruby on Rails, javascript and Angular frameworks
Experience performing similar software coding work
Work in person 2-3 times a week in Viasat's Seattle office, and otherwise remotely
Possess strong communication and teamwork skills
Work well with a small team in the U.S. Pacific and Europe time zones, in person and remotely, to:
understand bug and feature descriptions
learn and leverage team knowledge of system architecture, design, and past decision reasoning, as needed
implement features and bug fixes in the code
work often with a test-driven development approach
update and maintain a comprehensive regression test suite
review code written by other team members
incorporate feedback from other team members
help test and validate code changes written by other team members
participate in design discussions about possible solutions to new system requirements and goals
work at times in coordination with other team members and at times solo
help document the systems and communicate about them with the larger company workforce
provide sporadic technical support on provisioning systems to operations staff at times under time pressure
Postgresql, Groovy, Redis, Lua, Jenkins, Python, Java, Nodejs, Docker, RPM, and bash scripting are all helquit
exit
exit
",,,,,1/31/24,
BE,OmniAi,,"Company Overview
OmniAI is at the forefront of artificial intelligence technology, developing cutting-edge solutions that are transforming industries. Our team is composed of innovators and experts who are passionate about pushing the boundaries of what AI can achieve.

Job Title
Artificial Intelligence Engineer

Job Location
San Francisco, CA

Experience Level
We are looking for candidates with a range of experience, from fresh graduates to those with up to 5 years in the field.

Required Skills
Proficiency in TypeScript
Experience with PostgreSQL
Familiarity with Docker and containerization
Role Description
As an Artificial Intelligence Engineer at OmniAI, you will be tasked with developing and deploying AI models that will drive innovation and efficiency. You will work closely with a team of talented engineers and data scientists to build scalable AI solutions.

Responsibilities
Design and implement AI algorithms and models
Collaborate with cross-functional teams to integrate AI features
Maintain and optimize existing AI systems
Stay up-to-date with the latest AI trends and technologies
Qualifications
Bachelor's or Master's degree in Computer Science, AI, Machine Learning, or related field
0-5 years of relevant experience in AI or software development
Strong problem-solving and analytical skills
Excellent communication and teamwork abilitiesquit",,,,,2/1/24,
BE,MasterCard,,"itle and Summary

Software Engineer I
Who is Mastercard?

Mastercard is a global technology company in the payments industry. Our mission is to connect and power an inclusive, digital economy that benefits everyone, everywhere by making transactions safe, simple, smart, and accessible. Using secure data and networks, partnerships and passion, our innovations and solutions help individuals, financial institutions, governments, and businesses realize their greatest potential.

Our decency quotient, or DQ, drives our culture and everything we do inside and outside of our company. With connections across more than 210 countries and territories, we are building a sustainable world that unlocks priceless possibilities for all.

Overview

The Open Banking Analytics team is looking for a Software Engineer II to drive our analytics products forward by consistently innovating and problem-solving. The ideal candidate is passionate about software optimization, intellectually curious, and a team player.

Role

In this position, you will:

• Develop high quality, secure, scalable software solutions based on technical requirements
• Partner with Data Science and Product teams to identify business opportunities, solve problems, and deliver solutions.
• Program, test, document, and maintain applications in adherence with MasterCard standards, processes, and best practices.
• Contribute ideas and actively look for opportunities to enhance the team standards and improve efficiency.
• Participate in on-call pager support rotation of our live services.

All About You

The ideal candidate for this position should:

• Have a knowledge and understanding of Software Engineering Concepts and Methodologies
• Have experience with python, or an eagerness to learn python
• Always look for potential solutions to solve problems
• Have good exposure to programming in an object oriented language, SQL, git, REST APIs, unit testing, and documentation

Other desired qualities include:
• Be skilled at explaining technical problems succinctly and clearly
• Ability to work as a member of a geographically distributed project team
",,,,,2/1/24,
BE,Mastercard-Open,,"ur Purpose

We work to connect and power an inclusive, digital economy that benefits everyone, everywhere by making transactions safe, simple, smart and accessible. Using secure data and networks, partnerships and passion, our innovations and solutions help individuals, financial institutions, governments and businesses realize their greatest potential. Our decency quotient, or DQ, drives our culture and everything we do inside and outside of our company. We cultivate a culture of inclusion for all employees that respects their individual strengths, views, and experiences. We believe that our differences enable us to be a better team – one that makes better decisions, drives innovation and delivers better business results.

Title and Summary

Software Engineer I
Who is Mastercard?

Mastercard is a global technology company in the payments industry. Our mission is to connect and power an inclusive, digital economy that benefits everyone, everywhere by making transactions safe, simple, smart, and accessible. Using secure data and networks, partnerships and passion, our innovations and solutions help individuals, financial institutions, governments, and businesses realize their greatest potential.

Our decency quotient, or DQ, drives our culture and everything we do inside and outside of our company. With connections across more than 210 countries and territories, we are building a sustainable world that unlocks priceless possibilities for all.

Overview

The Open Banking Analytics team is looking for a Software Engineer II to drive our analytics products forward by consistently innovating and problem-solving. The ideal candidate is passionate about software optimization, intellectually curious, and a team player.

Role

In this position, you will:

• Develop high quality, secure, scalable software solutions based on technical requirements
• Partner with Data Science and Product teams to identify business opportunities, solve problems, and deliver solutions.
• Program, test, document, and maintain applications in adherence with MasterCard standards, processes, and best practices.
• Contribute ideas and actively look for opportunities to enhance the team standards and improve efficiency.
• Participate in on-call pager support rotation of our live services.

All About You

The ideal candidate for this position should:

• Have a knowledge and understanding of Software Engineering Concepts and Methodologies
• Have experience with python, or an eagerness to learn python
• Always look for potential solutions to solve problems
• Have good exposure to programming in an object oriented language, SQL, git, REST APIs, unit testing, and documentation

Other desired qualities include:
• Be skilled at explaining technical problems succinctly and clearly
• Ability to work as a member of a geographically distributed project team

Corporate Security Responsibility

Every person working for, or on behalf of, Mastercard is responsible for information security. All activities involving access to Mastercard assets, information, and networks comes with an inherent risk to the organization and therefore, it is expected that the successful candidate for this position must:",,,,,2/1/24,
BE,Affirm,,"Affirm is reinventing credit to make it more honest and friendly, giving consumers the flexibility to buy now and pay later without any hidden fees or compounding interest.

The Affirm Card Engineering team is looking for a passionate Software Engineer to help build the tools and systems that we use to manage money movement, bank data integration & merchant data. Affirm Card is Affirm’s newest financial product that marries the functionality of a debit card with access to Affirm's buy now pay later financing options. Our ability to move money effectively is critical to our ability to reach new customers and improve financial lives. We work closely with experience, data science, product, and a wide range of engineering teams to both leverage existing systems and build new systems.

This role requires a high level of technical capability, strong cross functional communication, and a creative mindset. Our work needs to be correct, scalable, and extensible. Our job is to have an industry leading money movement system to empower our product.

Affirm is experiencing explosive growth with millions of customers across thousands of merchants in-store and online, and your contributions will be a key enabler of that growth. Come join us as we build a beloved, lasting financial services brand predicated on honesty and trust. It’s going to be an amazing ride!

What you'll do
Drive planning and prioritization of projects based on product, technical, and business goals by leveraging relevant resources and data. 
Work cross functionally with colleagues in Experience, Accounting, Product, and Analytics teams to set and execute our money movement strategy for the Debit card
Build APIs and data models to work within micro-service and event-driven architectures
Take an active role in the processes that support team growth and efficiency
What We Look For:
Bachelor's degree in Computer Science, a related field, or equivalent training/fellowship/work experience
Experience with one of the following languages: Python, C/C++, Java, Kotlin, Javascript, reactJS and/or similar languages
Familiarity with deployment and automated testing frameworks
Ability to collaborate with your team in a fast-paced environment
Passion and drive to change consumer banking for the better!quit",,,,,2/2/24,
ml,axiss,,"An exceptional Artificial Intelligence Engineer driven by creating groundbreaking technology to innovate the healthcare value chain. Axxess is at the forefront of digital reinvention of healthcare, helping clients reimagine how advanced technology aids in the delivery of care in the home to patients and operational effectiveness to enterprises. This is an opportunity to join a dynamic team, using deep learning, neuro-linguistic programming (NLP), computer vision, chatbots, and robotics to help us improve various business outcomes and drive innovation. We seek problem-solvers to thrive in our environment by making a lasting impact on care model innovations, and digital transformation as we develop technology to make lives better. 

 

What you will experience… 

Work from Anywhere - Flexibility that allows you to work where you are most comfortable, whether at home, at work, or a combination of both   
A fast-paced, collaborative team-oriented environment that encourages everyone to bring their authentic self to work every day.  
Professional development for career growth and advancement  
Competitive compensation with full selection of benefits, including company-matching 401k contributions and 20 days of paid time off + holidays + birthdays 
 

Who we are... 

Axxess creates a complete suite of easy-to-use, innovative software solutions, empowering home health, home care and hospice providers to grow their business while making lives better. Our collaborative culture focuses on innovation and excellence, and we are proudly recognized nationally as a “Best Place to Work”. 

 

What you will do… 

Work on functional design, process design (including scenario design, flow mapping), prototyping, testing, training, and defining support procedures, in collaboration with a diverse solutions delivery team 
Support our Solutions Delivery team in conducting assessments of the AI (Artificial Intelligence) and automation market and competitor landscape 
Collaborate with stakeholders and project teams supporting process, research and development to meet the needs of our AI strategy 
Possess a deep understanding of our business and collaborate with teams on how integrating AI capabilities can help lead to solutions 
Contribute to cross-functional teams in identifying and prioritizing key areas of our industry where AI solutions can drive significant business benefit 
Analyze and explain AI and machine learning (ML) solutions while setting and maintaining high ethical standards 
Knowledgeable of a broad range of technology, strategy, and policy and issues associated with AI in healthcare 
 

What you bring…  

 

Bachelor's or master's degree in computer science or related field 
Experience with cloud environments 
Experience applying AI to practical and comprehensive technology solutions 
Experience with ML, deep learning, R, TensorFlow, Python, NLP, 
Knowledge of basic algorithms, object-oriented and functional design principles, and best-practice patterns 
Experience in REST API development, NoSQL database design, and RDBMS design and optimizations 
Experience with innovation accelerators is a plus 
Desire and ability to work effectively in an entrepreneurial and dynamic environment   quit",,,,,2/24/24,
ml,axiss,,"An exceptional Artificial Intelligence Engineer driven by creating groundbreaking technology to innovate the healthcare value chain. Axxess is at the forefront of digital reinvention of healthcare, helping clients reimagine how advanced technology aids in the delivery of care in the home to patients and operational effectiveness to enterprises. This is an opportunity to join a dynamic team, using deep learning, neuro-linguistic programming (NLP), computer vision, chatbots, and robotics to help us improve various business outcomes and drive innovation. We seek problem-solvers to thrive in our environment by making a lasting impact on care model innovations, and digital transformation as we develop technology to make lives better. 

 

What you will experience… 

Work from Anywhere - Flexibility that allows you to work where you are most comfortable, whether at home, at work, or a combination of both   
A fast-paced, collaborative team-oriented environment that encourages everyone to bring their authentic self to work every day.  
Professional development for career growth and advancement  
Competitive compensation with full selection of benefits, including company-matching 401k contributions and 20 days of paid time off + holidays + birthdays 
 

Who we are... 

Axxess creates a complete suite of easy-to-use, innovative software solutions, empowering home health, home care and hospice providers to grow their business while making lives better. Our collaborative culture focuses on innovation and excellence, and we are proudly recognized nationally as a “Best Place to Work”. 

 

What you will do… 

Work on functional design, process design (including scenario design, flow mapping), prototyping, testing, training, and defining support procedures, in collaboration with a diverse solutions delivery team 
Support our Solutions Delivery team in conducting assessments of the AI (Artificial Intelligence) and automation market and competitor landscape 
Collaborate with stakeholders and project teams supporting process, research and development to meet the needs of our AI strategy 
Possess a deep understanding of our business and collaborate with teams on how integrating AI capabilities can help lead to solutions 
Contribute to cross-functional teams in identifying and prioritizing key areas of our industry where AI solutions can drive significant business benefit 
Analyze and explain AI and machine learning (ML) solutions while setting and maintaining high ethical standards 
Knowledgeable of a broad range of technology, strategy, and policy and issues associated with AI in healthcare 
 

What you bring…  

 

Bachelor's or master's degree in computer science or related field 
Experience with cloud environments 
Experience applying AI to practical and comprehensive technology solutions 
Experience with ML, deep learning, R, TensorFlow, Python, NLP, 
Knowledge of basic algorithms, object-oriented and functional design principles, and best-practice patterns 
Experience in REST API development, NoSQL database design, and RDBMS design and optimizations 
Experience with innovation accelerators is a plus 
Desire and ability to work effectively in an entrepreneurial and dynamic environment   quit",,,,,2/24/24,
BE,linkedIN,,"t LinkedIn, we trust each other to do our best work where it works best for us and our teams. This role offers a hybrid work option, meaning you can both work from home and commute to a LinkedIn office, depending on what’s best for you and when it is important for your team to be together.

Responsibilities:
· You will scale distributed applications, make architectural trade-offs applying synchronous and asynchronous design patterns, write code, and deliver with speediness and quality.
· You will develop multi-tier scalable, high-volume performing, and reliable user-centric applications that operate 24x7.
· You will produce high quality software that is unit tested, code reviewed, and checked in regularly for continuous integration.
· You will provide technical leadership, driving and performing best engineering practices to initiate, plan, and execute large-scale, cross functional, and company-wide critical programs. Identify, leverage, and successfully evangelize opportunities to improve engineering productivity.

Basic Qualifications:
· 2+ years of relevant work experience.
· MS or PhD in Computer Science or related technical discipline

Preferred Qualifications:
· Experience in designing and building infrastructure and web services at large scale.
· Expert knowledge of computer science, with strong competencies in data structures, algorithms, and software design.
· Proven coding skills in Python or JavaScript/AJAX, database design and SQL, and/or knowledge of TCP/IP and network programming.
· Experience building web applications and services with IDEs, ant, junit, etc.
· Experience with relational databases (transactional and non-transactional), database architecture, and distributed transaction management.

Suggested Skills:
· API Development
· Programming Proficiency
· Performance Optimization and Monitoring
· Collaboration

You will Benefit from our Culture:quit",,,,,2/26/24,
BE,Walmart,,"The Collaboration Product team within ADE focuses on delivering scalable and valuable experiences for all Walmart associates to instantly chat and collaborate across multiple time zones and locations. We are increasing productivity by connecting associates to each other and to the company on several platforms. The scope of our solutions includes Walmart’s chat, file sharing, video meetings, and whiteboarding tools. 
 


About Team: 
Our team is focused on developing a streamlined, dependable company that includes service operations and technology solutions for Finance, People, and Associate Digital Experience (ADE). We also provide a variety of services such as procurement, supplier portfolio management, merchandising master data, and analytics. From developing HR chatbots and virtual assistants to creating invoice solutions and facilitating legal changes, we help drive efficiency across Walmart globally.

What you'll do:
Participate as a member of the software scrum team -- taking on sprint work and delivering iterations to our applications
Write code to build new and next functionality for our products
Develop processes that save Walmart millions of dollars annually
Troubleshoot and support issues and outages (hopefully very few!)


What you'll bring:
Tangible software engineering experience as a member of an agile team
Experience with NodeJS as primary coding language
Experience monitoring and managing already deployed applications to ensure health of existing processes
Troubleshooting expertise to identify where something is going wrong in a workflow
",,,,,2/27/24,
